station,Entries,exits
DupontLateNights,237.848, 123.366
DupontEvening,2193.884, 1869.536
FoggyBottomLateNight,91.482, 103.375
FoggyBottomEvening,2040.402, 1518.598
GalleryPlaceLateNight,331.107, 113.455
GalleryPlaceEvening,4584.295,2004.428
NavyYardLateNight,164.643,108.973
NavyYardEvening,3975.598,1559.651
RosslynLateNight,44.071,103.732
RosslynEvening,749.330,1019.250
TentleyTownLateNight, 23.401,70.767
TentleyTownEvening,458.642,584.839
WoodleyParkLateNight,61.375,54.473
WoodleyParkEvening,582.0,740.518